SECTOR|CIE10|NUMERODECASOS
PUERTO SANTA ANA|E86 | 6
FEBRES CORDERO|N04 | 1
NOT_FOUND|S30 | 1
PUERTO SANTA ANA|J039 | 1
FEBRES CORDERO|S70 | 1
GARCIA MORENO|J042 | 3
FEBRES CORDERO|S119 | 1
XIMENA|K80 | 1
FEBRES CORDERO|S010 | 1
BRISAS DEL NORTE|N200 | 1
FEBRES CORDERO|S204 | 1
PROSPERINA|T00 | 1
XIMENA|H10 | 5
NOT_FOUND|T55 | 1
NOT_FOUND|T51 | 2
DAULE|L028 | 1
GARCIA MORENO|N771 | 1
XIMENA|N30 | 5
XIMENA|R05 | 3
LETAMENDI|E782 | 1
XIMENA|N39 | 7
MAPASINGUE|T111 | 1
NOT_FOUND|B019 | 2
LAS PEÑAS|J18 | 1
URDANETA|A689 | 3
BELLAVISTA|I441 | 1
OLMEDO|R509 | 1
SAN FELIPE|A09 | 5
FEBRES CORDERO|H103 | 1
XIMENA|S807 | 1
XIMENA|S800 | 4
XIMENA|S801 | 1
AYACUCHO|J98 | 1
BASTION POPULAR|J459 | 1
XIMENA|S809 | 1
BOLIVAR SAGRARIO|E86 | 6
XIMENA|R56 | 1
FLORIDA|S099 | 2
XIMENA|R53 | 5
XIMENA|R51 | 34
XIMENA|R50 | 10
BOLIVAR SAGRARIO|A09 | 4
XIMENA|S379 | 1
XIMENA|B349 | 1
LETAMENDI|J042 | 2
LETAMENDI|J040 | 1
SERGIO TORAL|M029 | 1
ROCAFUERTE|R041 | 1
NOT_FOUND|H660 | 4
AYACUCHO|A09 | 18
NOT_FOUND|S931 | 1
NOT_FOUND|S930 | 1
NOT_FOUND|H669 | 8
NOT_FOUND|D50 | 1
MAPASINGUE|A09 | 35
FEBRES CORDERO|H669 | 1
SERGIO TORAL|K297 | 1
PASCUALES|J20 | 8
SERGIO TORAL|J180 | 1
GARCIA MORENO|L600 | 1
CIUDAD DEL RIO|J304 | 1
NOT_FOUND|K052 | 1
NOT_FOUND|S809 | 1
XIMENA|S81 | 7
XIMENA|S80 | 4
NOT_FOUND|S800 | 3
ROCAFUERTE|J180 | 1
FEBRES CORDERO|K529 | 3
LETAMENDI|J18 | 8
BELLAVISTA|J40 | 1
GUAYACANES|J18 | 2
XIMENA|S600 | 3
XIMENA|S601 | 1
XIMENA|H650 | 19
XIMENA|H651 | 1
LETAMENDI|K802 | 1
BASTION POPULAR|S008 | 1
XIMENA|S599 | 1
XIMENA|L548 | 1
ORQUIDEAS|J03 | 4
EL PARAISO|L50 | 1
FLOR DE BASTION|E86+ | 1
SAN EDUARDO|L500 | 1
CHONGON|H920 | 1
XIMENA|T528 | 1
9 DE OCTUBRE|J020 | 1
METROPOLIS|J180 | 1
SUCRE|A09 | 11
URDANETA|I11 | 1
URDANETA|S907 | 1
LETAMENDI|L272 | 1
FERROVIARIA|K590 | 1
NUEVA PROSPERINA|J180 | 4
FLORIDA|T784 | 1
GARCIA MORENO|R500 | 2
GARCIA MORENO|R501 | 5
MAPASINGUE|R42 | 1
FLOR DE BASTION|J46 | 2
FLOR DE BASTION|J45 | 5
GARCIA MORENO|R509 | 3
LETAMENDI|S01 | 10
LETAMENDI|S00 | 4
LETAMENDI|S06 | 1
FEBRES CORDERO|J180 | 90
URDANETA|B082 | 1
MONTEBELLO|J180 | 1
NOT_FOUND|S022 | 1
LETAMENDI|K29 | 5
URDANETA|J042 | 2
NUEVA PROSPERINA|R10 | 5
