XIMENA,5337
FEBRES CORDERO,2099
URDANETA,331
LETAMENDI,825
GARCIA MORENO,346
AYACUCHO,203
SUCRE,68
BOLIVAR SAGRARIO,57
OLMEDO,64
9 DE OCTUBRE,10
ROCAFUERTE,38
CARBO,28
ROCA,18
CHONGON,67
PASCUALES,34
SAUCES,261
GARZOTA,2
ALBORADA,94
URDESA,36
SAMANES,22
ACUARELA DEL RIO,1
GUAYACANES,52
INTERAGUA,0
BRISAS DEL NORTE,4
BRISAS DEL RIO,2
KENNEDY,17
URDENOR,9
JUAN PABLO II,0
HUANCAVILCA NORTE,1
LIMONAL,16
METROVIA RIO DAULE,0
IETEL,10
LUIS VERNAZA,17
ADACE,7
SIMON BOLIVAR,0
AEROPUERTO,0
BASE NAVAL NORTE,0
RIO GUAYAS,0
FAE,0
TERMINAL TERRESTRE,0
BELLA AURORA,0
ALAMOS,0
ATARAZANA,56
NAVAL NORTE,5
PUERTO SANTA ANA,43
BOLIVARIANA,20
VERGELES,27
ORQUIDEAS,46
MUCHO LOTE II,16
CIUDAD DEL RIO,7
METROPOLIS,15
MUCHO LOTE I,93
PASCUALES,34
