cod,Clave,Nombre
7518,Q35,Fisura del paladar
7522,Q353,Fisura del paladar blando
7536,Q372,Fisura del paladar blando con labio leporino bilateral
7537,Q373,Fisura del paladar blando con labio leporino unilateral
7521,Q352,"Fisura del paladar blando, bilateral"
7533,Q37,Fisura del paladar con labio leporino
7540,Q378,"Fisura del paladar con labio leporino bilateral, sin otra especificación"
7541,Q379,"Fisura del paladar con labio leporino unilateral, sin otra especificación"
7520,Q351,Fisura del paladar duro
7534,Q370,Fisura del paladar duro con labio leporino bilateral
7535,Q371,Fisura del paladar duro con labio leporino unilateral
7524,Q355,Fisura del paladar duro y del paladar blando
7538,Q374,Fisura del paladar duro y del paladar blando con labio leporino bilateral
7539,Q375,Fisura del paladar duro y del paladar blando con labio leporino unilateral
7523,Q354,"Fisura del paladar duro y del paladar blando, bilateral"
7519,Q350,"Fisura del paladar duro, bilateral"
7527,Q358,"Fisura del paladar, bilateral sin otra especificación"
7525,Q356,"Fisura del paladar, línea media"
7528,Q359,"Fisura del paladar, sin otra especificación"
7529,Q36,Labio leporino
7530,Q360,"Labio leporino, bilateral"
7531,Q361,"Labio leporino, línea media"
7532,Q369,"Labio leporino, unilateral"
13499,Y88,Secuelas con atención médica y quirúrgica como causa externa
13503,Y883,"Secuelas de procedimientos médicos y quirúrgicos como la causa de reacción anormal del paciente o de complicación posterior, sin mención de incidente en el momento de efectuar el procedimiento"
8034,R100,Abdomen agudo
4884,L02,"Absceso cutáneo, furúnculo y ántrax"
4885,L020,"Absceso cutáneo, furúnculo y ántrax de la cara"
4889,L024,"Absceso cutáneo, furúnculo y ántrax de miembro"
4886,L021,"Absceso cutáneo, furúnculo y ántrax del cuello"
4227,J340,"Absceso, furúnculo y carbunco de la nariz"
9676,T784,Alergia no especificada
43,A06,Amebiasis
4129,J03,Amigdalitis aguda
4233,J350,Amigdalitis crónica
1775,D52,Anemia por deficiencia de folatos
1767,D509,Anemia por deficiencia de hierro sin otra especificación
1763,D50,Anemias por deficiencia de hierro
4599,K351,Apendicitis aguda con absceso peritoneal
4598,K350,Apendicitis aguda con peritonitis generalizada
4600,K359,"Apendicitis aguda, no especificada"
4602,K37,"Apendicitis, no especificada"
5275,M00,Artritis piógena
5280,M009,"Artritis piógena, no especificada"
4276,J45,Asma
4279,J458,Asma mixta
4278,J451,Asma no alérgica
4277,J450,Asma predominantemente alérgica
4280,J459,"Asma, no especificado"
4182,J180,"Bronconeumonía, no especificada"
4282,J47,Bronquiectasia
4198,J21,Bronquiolitis aguda
4201,J219,"Bronquiolitis aguda, no especificada"
4187,J20,Bronquitis aguda
4197,J209,"Bronquitis aguda, no especificada"
4264,J42,Bronquitis crónica no especificada
3221,H001,Calacio [chalazión]
4810,K804,Cálculo de conducto biliar con colecistitis
4806,K800,Cálculo de la vesícula biliar con colecistitis aguda
4807,K801,Cálculo de la vesícula biliar con otra colecistitis
4808,K802,Cálculo de la vesícula biliar sin colecistitis
6049,N21,Cálculo de las vías urinarias inferiores
6046,N201,Cálculo del uréter
6051,N211,Cálculo en la uretra
6050,N210,Cálculo en la vejiga
6048,N209,"Cálculo urinario, no especificado"
128,A220,Carbunco cutáneo
4892,L03,Celulitis
4895,L032,Celulitis de la cara
4781,K745,"Cirrosis biliar, no especificada"
6078,N300,Cistitis aguda
4814,K810,Colecistitis aguda
4815,K811,Colecistitis crónica
4805,K80,Colelitiasis
3270,H103,"Conjuntivitis aguda, no especificada"
9186,T16,Cuerpo extraño del oído
9189,T171,Cuerpo extraño en el orificio nasal
9187,T17,Cuerpo extraño en las vías respiratorias
7753,Q690,Dedo(s) supernumerario(s) de la mano
7755,Q692,Dedo(s) supernumerario(s) del pie
2337,E86,Depleción del volumen
4951,L23,Dermatitis alérgica de contacto
4941,L20,Dermatitis atópica
2012,E109,"Diabetes mellitus insulinodependiente, sin mención de complicación"
2056,E149,"Diabetes mellitus no especificada, sin mención de complicación"
2023,E119,"Diabetes mellitus no insulinodependiente, sin mención de complicación"
2046,E14,"Diabetes mellitus, no especificada"
68,A09,Diarrea y gastroenteritis de presunto origen infeccioso
8035,R101,Dolor abdominal localizado en parte superior
5467,M255,Dolor en articulación
5744,M796,Dolor en miembro
8024,R072,Dolor precordial
9444,T439,"Droga psicotrópica, no especificada"
7640,Q530,Ectopia testicular
8204,R601,Edema generalizado
4335,J81,Edema pulmonar
4747,K70,Enfermedad alcohólica del hígado
3703,I11,Enfermedad cardíaca hipertensiva
3705,I119,Enfermedad cardíaca hipertensiva sin insuficiencia cardíaca (congestiva)
3904,I519,"Enfermedad cardíaca, no especificada"
3901,I516,"Enfermedad cardiovascular, no especificada"
3970,I679,"Enfermedad cerebrovascular, no especificada"
4238,J359,"Enfermedad crónica de las amígdalas y de las adenoides, no especificada"
4683,K573,Enfermedad diverticular del intestino grueso sin perforación ni absceso
4687,K579,"Enfermedad diverticular del intestino, parte no especificada, sin perforación ni absceso"
14255,U97,Enfermedad febril exantemática
3750,I249,"Enfermedad isquémica aguda del corazón, no especificada"
428,A920,Enfermedad por virus Chikungunya
4762,K717,Enfermedad tóxica del hígado con cirrosis y fibrosis del hígado
4270,J439,"Enfisema, no especificado"
