ID,Parroquia,ShapeName,SectorAdicional,SectorGeneral,Sector
1,AYACUCHO,AYACUCHO,,,Ayacucho
2,,,,,Barrio Ciudad Nueva
3,AYACUCHO,AYACUCHO,,,Barrio del Astillero
4,URDANETA,URDANETA,,,Barrio Garay (Calle 9 de Octubre lado oeste)
5,,,,,Barrio Jockey
6,TARQUI,TARQUI,,,Barrio la Concordia
7,,,,,Barrio La Sabana
8,,,,,Barrio Las 5 Esquinas
9,TARQUI,MONTE SINAI,,,Barrio Las Peñas
10,TARQUI,TARQUI,,,Barrio Orellana
11,,,,,Barrio Q. Josefa
12,,,,,Barrio Q. Pareja
13,,,,,Barrio Q. Piedad
14,TARQUI,BOLIVARIANA,,,Bolívar
15,TARQUI,BOLIVARIANA,,,Cdla. Bolivariana
16,,,,,Ciudad Nueva
17,GARCIA MORENO,GARCIA MORENO,,,Coop. Progresista
18,,,,,Coop. Rumiñahui
19,,,,,Coop. Samuel Gómez
20,GARCIA MORENO,GARCIA MORENO,,,Cristo del Consuelo
21,,,,,El Conchero
22,XIMENA,XIMENA,,,Febres Cordero
23,XIMENA,XIMENA,,,García Moreno
24,LETAMENDI,LETAMENDI,,,Letamendi
25,OLMEDO,OLMEDO,,,Olmedo
26,FEBRES CORDERO,FEBRES CORDERO,,,Puerto Lisa
27,ROCAFUERTE,ROCAFUERTE,,,Rocafuerte
28,SUCRE,SUCRE,,,Sucre
29,TARQUI,TARQUI,,,Tarqui
30,URDANETA,URDANETA,,,Urdaneta
31,XIMENA,XIMENA,,,Ximena
32,TARQUI,LAS PEÑAS,,,Viviendas del Cerro del Carmen
33,TARQUI,PUERTO SANTA ANA,,,Viviendas del Cerro Santa Ana
34,XIMENA,XIMENA,,,Barrio Centenario
35,XIMENA,XIMENA,,,Barrio Cuba
36,XIMENA,XIMENA,,,Barrio de las Americas - del Seguro
37,DURAN,DURAN,,,Bloque Primavera
38,XIMENA,XIMENA,,,Cdal. La Saiba
39,TARQUI,LOS CEIBOS,,,Cdal. Los Olivos
40,XIMENA,XIMENA,,,Cdla Caraguay
41,TARQUI,ORQUIDEAS,,,Cdla del Maestro
42,XIMENA,XIMENA,,,Cdla Jambeli
43,TARQUI,URDESA,,,Cdla Los Cipreses
44,XIMENA ,XIMENA,,,Cdla. 9 de Octubre
45,XIMENA,XIMENA,,,Cdla. Amazonas I
46,XIMENA,XIMENA,,,Cdla. Amazonas II
47,XIMENA,XIMENA,,,Cdla. Coviem
48,XIMENA,XIMENA,,,Cdla. del Periodista
49,XIMENA,XIMENA,,,Cdla. Floresta I-Coop Los Laureles
50,XIMENA,XIMENA,,,Cdla. Floresta II-Coop. Divino niño
51,XIMENA,XIMENA,,,Cdla. Floresta II-Coop. Los Vergeles
52,XIMENA,XIMENA,,,Cdla. Floresta II-Coop. Nueva idela
53,XIMENA,XIMENA,,,Cdla. Floresta II-Coop. Piso y Techo
54,XIMENA,XIMENA,,,Cdla. Floresta III-Guasmo Central
55,XIMENA,XIMENA,,,Cdla. Fragata
56,XIMENA,XIMENA,,,Cdla. Guangala
57,XIMENA,XIMENA,,,Cdla. Guayasur
58,URDANETA,URDANETA,,,Cdla. Huancavilca
59,XIMENA,XIMENA,,,Cdla. Jambelí
60,LETAMENDI,LETAMENDI,,,Cdla. La Chala
61,TARQUI,FAE,,,Cdla. La Ronda
62,XIMENA,XIMENA,,,Cdla. Las Acacias
63,XIMENA,XIMENA,,,Cdla. Las Tejas
64,DURAN,DURAN,,,Cdla. Las Terrazas
65,XIMENA,XIMENA,,,Cdla. Los Almendros
66,GARCIA MORENO,GARCIA MORENO,,,Cdla. Los delfines
67,XIMENA,XIMENA,,,Cdla. Los Esteros I
68,XIMENA,XIMENA,,,Cdla. Los Esteros II
69,XIMENA,XIMENA,,,Cdla. Los Tulipanes
70,XIMENA,XIMENA,,,Cdla. Luis Morejón
71,XIMENA,XIMENA,,,Cdla. Morán Valverde
72,XIMENA,XIMENA,,,Cdla. Naval Sur 25 de Julio
73,XIMENA,XIMENA,,,Cdla. Pradera I
74,XIMENA,XIMENA,,,Cdla. Pradera II
75,XIMENA,XIMENA,,,Cdla. Pradera III
76,XIMENA,XIMENA,,,Cdla. Urbasur
77,XIMENA,XIMENA,,,Cdla. Valdivia
78,XIMENA,XIMENA,,,Cdla. Villamil
79,XIMENA,XIMENA,,,Ciudadela del IESS
80,,,,,Condm. Los Jardines
81,OTROS,OTROS,,,Coop 17 de Septiembre
82,XIMENA,XIMENA,,,Coop 26 de Abril-Guasmo Sur
83,XIMENA,XIMENA,,,Coop 9 de Octubre-Guasmo Osete
84,FEBRES CORDERO,FEBRES CORDERO,,,Coop Américo Vespucio II-Isla Trinitaria
85,XIMENA,XIMENA,,,Coop Autoridad Portuaria
86,XIMENA,XIMENA,,,Coop Carlos Castro II-Guasmo Central
87,XIMENA,XIMENA,,,Coop centro Civico-Guasmo Norte
88,FEBRES CORDERO,FEBRES CORDERO,,,Coop El Paraíso-Isla Trinitaria
89,XIMENA,XIMENA,,,Coop Fertisa-Guasmo Sur
90,XIMENA,XIMENA,,,Coop Guayaquil Independiente
91,FEBRES CORDERO,FEBRES CORDERO,,,Coop Los Angeles II-Isla Trinitaria
92,XIMENA,XIMENA,,,Coop Proletarios con tierra-Guasmo Sur
93,XIMENA,XIMENA,,,Coop Rosa Aguilera-Guasmo Sur
94,XIMENA,XIMENA,,,Coop.  Estela Maris-Guasmo Sur
95,XIMENA,XIMENA,,,Coop. 1 de Agosto-Guasmo Central
96,XIMENA,XIMENA,,,Coop. 1 de Mayo Independiente-Guasmo Norte
97,OTROS,OTROS,,,Coop. 1 de Septiembre
98,XIMENA,XIMENA,,,Coop. 10 de Agosto-Guasmo Norte
99,FEBRES CORDERO,FEBRES CORDERO,,,Coop. 11 de Septiembre-Isla Trinitaria
100,FEBRES CORDERO,FEBRES CORDERO,,,Coop. 12 de Mayo II-Isla Trinitaria
101,FEBRES CORDERO,FEBRES CORDERO,,,Coop. 12 de Mayo-Isla Trinitaria
102,XIMENA,XIMENA,,,Coop. 12 de Septiembre-Guasmo Central
103,XIMENA,XIMENA,,,Coop. 13 de Febrero
104,,,,,Coop. 15 de Diciembre
105,XIMENA,XIMENA,,,Coop. 15 de Septiembre-Guasmo central
106,,,,,Coop. 16 de Mayo
107,XIMENA,XIMENA,,,Coop. 18 de Agosto-Guasmo Sur
108,XIMENA,XIMENA,,,Coop. 18 de Octubre-Guasmo Sur
109,,,,,Coop. 18 de Septiembre
110,XIMENA,XIMENA,,,Coop. 21 de Enero-Guasmo Norte
111,FEBRES CORDERO,FEBRES CORDERO,,,Coop. 22 de Abril-Isla Trinitaria
112,XIMENA,XIMENA,,,Coop. 24 de Mayo-Guasmo Norte
113,XIMENA,XIMENA,,,Coop. 24 de Mayo-Las Malvinas
114,XIMENA,XIMENA,,,Coop. 25 de Enero-Guasmo Norte
115,FEBRES CORDERO,FEBRES CORDERO,,,Coop. 25 de Julio-Isla Trinitaria
116,XIMENA,XIMENA,,,Coop. 27 de Junio
117,XIMENA,XIMENA,,,Coop. 28 de Agosto
118,FEBRES CORDERO,FEBRES CORDERO,,,Coop. 28 de Mayo
119,TARQUI,PROSPERINA,,,Coop. 29 de Abril
120,FEBRES CORDERO,FEBRES CORDERO,,,Coop. 3 de Mayo-Isla Trinitaria
121,XIMENA,XIMENA,,,Coop. 3 de Noviembre
122,TARQUI,JUAN MONTALVO,,,Coop. 4 de Marzo
123,FEBRES CORDERO,FEBRES CORDERO,,,Coop. 4 de Septiembre-Isla Trinitaria
124,XIMENA,XIMENA,,,Coop. 5 de Agosto-Guasmo Norte
125,XIMENA,XIMENA,,,Coop. 5 de Octubre-Guasmo Sur
126,FEBRES CORDERO,FEBRES CORDERO,,,Coop. 6 de Noviembre-Isla Trinitaria
127,FEBRES CORDERO,FEBRES CORDERO,,,Coop. 7 de Octubre
128,XIMENA,XIMENA,,,Coop. 7 Lagos-Guasmo Central
129,XIMENA,XIMENA,,,Coop. 7 Laguitos-Guasmo Central
130,XIMENA,XIMENA,,,Coop. 7 Septiembre-Guasmo central
131,XIMENA,XIMENA,,,Coop. 8 de Agosto
132,XIMENA,XIMENA,,,Coop. 8 de Marzo
133,,,,,Coop. 8 de Septiembre
134,XIMENA,XIMENA,,,Coop. 9 de Abril
135,XIMENA,XIMENA,,,Coop. 9 de Agosto-Guasmo central
136,XIMENA,XIMENA,,,Coop. 9 de Julio-Fertisa
137,XIMENA,XIMENA,,,Coop. Abdalá Bucaram
138,XIMENA,XIMENA,,,Coop. Abdalá de los Pobres
139,XIMENA,XIMENA,,,Coop. Ahora le toca al Pueblo
140,XIMENA,XIMENA,,,Coop. Alameda-Malvinas
141,XIMENA,XIMENA,,,Coop. Amazonas-Guasmo Sur
142,FEBRES CORDERO,FEBRES CORDERO,,,Coop. Américo Vespucio I-Isla Trinitaria
143,FEBRES CORDERO,FEBRES CORDERO,,,Coop. Andres Quiñones I-Isla Trinitaria
